Name of investor,Site,Info card,Stage,Check size,Focus,Investment geography,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact,Manager name,Role,Contact
1337 Ventures,https://1337.ventures/,https://connect.visible.vc/investors/1337-ventures-2,"Pre-Seed,Accelerator,Seed",$25K-,"Consumer, Agnostic, Fintech, Insurtech, Healthtech","Asia-Pacific,  South East Asia",Bikesh Lakhmichand,Founder and CEO,"https://www.linkedin.com/in/bikeshl/, ",Max Teh,Senior Associate,"https://www.linkedin.com/in/maxteh/, ",Shannon Chow,Head Of Marketing,"https://www.linkedin.com/in/shannonchow/, ",No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
1517 Fund,http://1517fund.com,https://connect.visible.vc/investors/1517-fund,Seed,No information,"Software, SaaS, HealthCare, Mobile, Applications, Enterprise, IT",United States,Danielle Strachman,"Co-Founder, General Partner","https://twitter.com/dstrachman, https://www.linkedin.com/in/daniellestrachman/, ",No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
1843 Capital,https://1843capital.com/,https://connect.visible.vc/investors/1843-capital-2,"SeriesA,SeriesB",$500K-$1M,"Underrepresented, AI, B2B, B2B2C, Blockchain, ConsumerGoods, Crypto, DigitalHealth, Fintech, Impact, IoT, LifestyleandWellness, Platforms, PrivacyandSecurity, Transportation",No information,Basil Alomary,No information,"http://www.linkedin.com/in/basilalomary, ",Graham Brooks,Partner,"http://twitter.com/GrahamBrooks, http://www.linkedin.com/in/grahambrooks, ",Greg Dracon,Partner,"http://twitter.com/Greg406, http://www.linkedin.com/in/gdracon, ",Kelci Horan,Office Manager and Executive Assistant,"https://www.linkedin.com/in/kelcihoran, ",Kevin Wang,Associate,"https://www.linkedin.com/in/kcywang/, ",Liam Donohue,Co-Founder and Managing Partner,"http://twitter.com/Liam406, https://www.linkedin.com/in/ldonohue, ",Maria Cirino,Co-Founder and Managing Partner,"https://twitter.com/mariacirino, http://www.linkedin.com/pub/maria-cirino/3/642/48a, ",Payal Agrawal Divakaran,Partner,"https://twitter.com/payaldivakaran, https://www.linkedin.com/in/payal-agrawal-divakaran-1973912, ",So-June Min,CFO,"https://www.linkedin.com/pub/so-june-min/20/947/2b8, ",Tracy Chadwell,Founding Partner,"https://twitter.com/TChadwell, https://www.linkedin.com/in/tracychadwell/, "
1863 Ventures,http://1863ventures.net,https://connect.visible.vc/investors/1863-ventures,"Accelerator,Seed",No information,"Agnostic, Underrepresented","United States, Southeast (US)",Adeleke Omitowoju,Venture Partner,No information,Art Stevens,Senior Partner,No information,Melissa Bradley,"Founder, Board, Managing Partner","https://twitter.com/bradleyml, https://www.linkedin.com/in/melissalbradley/, ",Philip Reeves,Principal,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
1982 Ventures,http://1982.vc,https://connect.visible.vc/investors/1982-ventures,Pre-Seed,$100K-$500K,Blockchain,Singapore,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
1st Course Capital,http://www.1cc.vc/,https://connect.visible.vc/investors/1st-course-capital,"Seed,Pre-Seed",No information,"Impact, Food&Beverage, FoodTech",United States,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
1Up Ventures,http://1upfund.com,https://connect.visible.vc/investors/1up-ventures,"Seed,SeriesA",No information,"Gaming, Mobile, DigitalMedia",Pacific Northwest (US),Chris Wheaton,Fund Administrator,"https://www.linkedin.com/in/chris-wheaton-5442476b/, ",Ed Fries,General Partner,"https://www.linkedin.com/in/edfries/, ",No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2020 Ventures,http://2020.co,https://connect.visible.vc/investors/2020-ventures,"Seed,SeriesA",No information,"Software, Blockchain, Fintech, ConsumerElectronics","United States, Southeast (Asia)",David Williams,"Founder, Managing Partner","http://www.linkedin.com/in/daviddouglaswilliams, ",No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
2048 Ventures,http://2048.vc,https://connect.visible.vc/investors/2048-ventures,Pre-Seed,$300K-$600K,"Enterprise, ConsumerElectronics, E-Commerce, VR/AR, RealEstate, Fintech, Agnostic, DigitalHealth, Sustainability, Climate, AI, API, Marketplaces, B2B, SaaS, Biotechnology",No information,Alex Iskold,Managing Partner,"https://www.linkedin.com/in/iskold, ",Zann Ali,Principal,"https://www.linkedin.com/in/zannali/, ",No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
22 Fund,http://the22fund.com,https://connect.visible.vc/investors/22-fund,Growth,No information,"Manufacturing, Underrepresented","United States, Southern California (US)",Monica Dodi,Partner,"https://www.linkedin.com/in/monicadodi/, ",Rajan Kasetty,Partner,"https://www.linkedin.com/in/rajan-kasetty/, ",Tracy Gray,Founder & Managing Partner,"https://twitter.com/graymattr7, https://www.linkedin.com/in/tracydgray/, ",No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
